id_ogl,desc
113860,"NAUCZYCIEL WSPOMAGAJĄCY TERAPEUTA kontakt przez PUP   terapia pedagogiczna wymagane doświadczenie w pracy z dziećmi, cierpliwość"
114005,"MURARZ Przedsiębiorstwo Budowlane S-BUD Natalia Jurek-Pliszka   Praca na terenie Człuchowa i Lutówka, transport zapewnia pracodawca."
114164,"ELEKTROMECHANIK POJAZDÓW SAMOCHODOWYCH SZREDER ROBERT Elektromechanika Pojazdów Samochodowych """"Rozruszniki-Alternatory"""" Robert Szreder   możliwość przyuczenia, chęci do pracy"
114306,"MONTAŻYSTA SERWISANT PREVAC sp. z o.o.   Mile widziane wykształcenie technicznie, zdolności manualne, prawo jazdy kat. B."
114443,BARMAN/KELNER kontakt przez PUP   Książeczka do celów sanitarno-epidemiologicznych.
1144533,MAGAZYNIER kontakt przez PUP   Obsługa komputera oraz wózka paletowego.
1144682,MAGAZYNIER-SERWISANT PS LIFT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Prace naprawcze i serwisowe urządzeń dźwignicowych 
1144836,"MAGAZYNIER KALIZEA POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   wykształcenie średnie, staż pracy dowolny"
1145485,"MAGAZYNIER MOP SERWIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   wykształcenie zawodowe, min. rok doświadczenia zawodowego, prawo jazdy kat. B, uprawnienia na wózki widłowe"
1145633,"MAGAZYNIER BEZ UDT kontakt przez OHP   dyspozycyjność, zdolności manualne, umiejętność pracy w zespole, zaangażowanie w wykonywane obowiązki"
114593,"ROBOTNIK BUDOWLANY Przedsiębiorstwo Produkcyjno-Usługowe BUDOMONT-7 Sp. z o. o.   p, sumienność i uczciwość, dyspozycyjność, umiejętność pracy w zespole"
1147250,"DORADCA SERWISOWY/MAGAZYNIER ELCAR Sp. z o.o.   wykształcenie min. średnie,  staż pracy: brak wymagań,  pożądana znajomość języka angielskiego,  znajomość branży motoryzacyjnej - konieczna,  znajomość budowy samochodu,  znajomość pakietu MS Office,  prawo jazdy kat. B"
114742,"PRACOWNIK BUDOWLANY Z UMIĘJTNOŚCIA SPAWANIA SERWIS-ROZWÓJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ Z SIEDZIBĄ W KATOWICACH   doświadczenie,umiejętność spawania,"
114893,"TECHNIK ELEKTRONIK LUB TECHNIK MECHATRONIK LUB TECHNIK ELEKTROMECHANIK """"POLWAT"""" MAREK ERMEL SPÓŁKA JAWNA   wykształcenie średnie lub wyższe techniczne (elektronik, mechatronik lub elektromechanik)"
115036,LAKIERNIK SAMOCHODOWY AUTO-SERWIS PIOTR WASZKIEWICZ   Mile widziane doświadczenie zawodowe
115199,"KIEROWCA SAMOCHODU CIĘŻAROWEGO Leopold Bobowiec - P.H.U. """"POLDEX""""   Pożądane min. 6 miesięcy doświadczenia na stanowisku kierowcy"
115345,"KIEROWCA KAT.  C+E PRZEDSIĘBIORSTWO ROBÓT INŻYNIERYJNYCH """"FART"""" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Wymagania; doświadczenie zawodowe,motywacja do pracy. Praca na terenie woj.świętokrzyskiego."
115500,SEKRETARKA MEDYCZNA kontakt przez PUP   osoba bezrobotna powyżej 30 roku życia
115500,SEKRETARKA MEDYCZNA kontakt przez PUP   osoba bezrobotna powyżej 30 roku życia
115500,SEKRETARKA MEDYCZNA kontakt przez PUP   osoba bezrobotna powyżej 30 roku życia
115661,"RECEPCJONISTA TWORZYMY ZDROWIE SP. Z O.O.   obsługa komputera,komunikatywność,umiejętność pracy pod presją czasu,wysoka kultura"
115812,"NAUCZYCIEL PRZEDMIOTÓW ZAWODOWYCH INFORMATYCZNYCH Zespół Szkół Technicznych i Ogólnokształcących w Iłowie Osadzie   wykształcenie wyższe - informatyk, doświadczenie w pracy na wskazanym stanowisku"
115957,MONTER SIECI WODNYCH I KANALIZACYJNYCH EKO-DBAJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Pracodawca oferuje przyuczenie do pracy. Nie wymaga doświadczenia zawodowego.
116125,PRACOWNIK PRODUKCYJNY IKO KOMPANIA DROBIARSKA SP. Z O.O.   Mile widziana książeczka sanepidowska
116284,"KIEROWCA KAT. B KORNIX Marcin Kowalski   doświadczenie zawodowe mile widziane, trasy międzynarodowe Polska - Niemcy"
116608,TECHNIK DENTYSTYCZNY kontakt przez PUP   uprawnienia: zawód technika dentystycznego
116754,"POKOJOWA """"DIVA"""" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Mile widziane doświadczenie zawodowe."
116917,"STAŻYSTA/ MŁODSZY ASYSTENT W SEKCJI HIGIENY ŻYWNOŚCI, ŻYWIENIA I PRZEDMIOTÓW UŻYTKU ODDZIAŁU NADZORU SANITARNEGO Powiatowa Stacja Sanitarno-Epidemiologicznej w Świinoujściu   wiedza z zakresu bezpieczeństwa żywności; mile widziana znajomość języka obcego;"
117074,PRACOWNIK RESTAURACJI kontakt przez OHP   -CHĘCI DO PRACY  -OTWARTOŚĆ  -KOMUNIKATYWNOŚĆ
117239,OSOBA DO WYKONYWANIA CZYNNOŚCI SPRZĄTAJĄCYCH kontakt przez PUP   wykształcenie brak lub niepełne podstawowe;
117393,BIOMASAŻYSTA kontakt przez PUP   Umiejętności w wykonywaniu masaży
117552,"FRYZJER kontakt przez PUP   umiejętność farbowania, modelowania  znajomość koloryzacji włosów  staż pracy obojętny"
1177707,POMOC KUCHENNA Zamek Kliczków Sp. z o.o.   Pracowitość.
1177855,POMOC KUCHENNA kontakt przez PUP   mile widziane doświadczenie
1178009,KUCHARZ Bartosz Nowak PHU Bartosz Nowak   [Umiejętność 2] : Smażenie ryb [Umiejętność 1] : Czyszczenie ryb 
1178159,"POMOC KUCHENNA """"Gospoda u Przyjaciół"""" - usługi gastronomiczne Anna Mielec   umiejętności-gastronomiczne, doświadczenie zawodowe- mile widziane chęć do pracy"
1178303,"POMOC KUCHENNA SEZON kontakt przez OHP   MOŻLIWOŚĆ PRZYUCZENIA, WIEK: OD 18"
1178457,KUCHARZ KUCHNI WIETNAMSKIEJ kontakt przez PUP   kurs gastronomiczny - kuchnia wietnamska
117874,"SZWACZKA MASZYNOWA """"BEST"""" PRZEDSIĘBIORSTWO WIELOBRANŻOWE SPÓŁKA JAWNA CENTRUM BHP I P. POŻ. EUGENIUSZ GARBERA   wykształcenie zawodowe szwaczka, mile widziane doświadczenie zdolności manualne"
1179023,KUCHARZ Kamil Chmielewski & Company   osoby chętne do pracy bez pożądanego doświadczenia będą przeszkolone w zawodzie
1179177,"KUCHARZ / POMOCNIK KUCHARZA F.H.U. Pizzeria Quadratta ANNA OTOROWSKA   Mile widziane wykształcenie kierunkowe, umiejętność gotowania, mile widziane doświadczenie, osoby chętne do przyuczenia"
1179333,KUCHARZ/SZEF KUCHNI kontakt przez PUP   [Inne] : MILE WIDZIANA KSIĄŻECZKA DO CELÓW SANITARNO-EPIDEMIOLOGICZNYCH. MILE WIDZIANA ZNAJOMOŚĆ KUCHNI AZJATYCKIEJ; PRACA 40 GODZIN TYGODNIOWO 
118034,"ROBOTNIK MAGAZYNOWY SPÓŁDZIELNIA NIEWIDOMYCH """"PROMET""""   Uprawnienia na wózek widłowy."
1181761,"KUCHARZ Niepubliczna Dwujęzyczna Szkoła Podstawowa Bonum Futurum w Tulcach   Zamiłowanie do gotowania, wprowadzania własnych pomysłów kulinarnych uwzględniających potrzeby dzieci, dodatkowo preferujemy osoby z doświadczeniem i książeczką Sanepidu. Praca na jedną zmianę w godz. 7-15 "
118184,"STAŻYSTA W SŁUŻBIE PRZYGOTOWAWCZEJ R2/1901-938/21 KOMENDA MIEJSKA PAŃSTWOWEJ STRAŻY POŻARNEJ WE WŁOCŁAWKU   wykształcenie średnie, prawo jazdy kat. C"
118345,"INSTRUKTOR TERAPII ZAJĘCIOWEJ Warsztaty Terapii Zajęciowej   Wymagania: wykształcenie średnie o profilu terapeuta zajęciowy, preferowane wyższe pedagogiczne."
118495,"PRACOWNIK DO SPRAW EWIDENCJI LUDNOŚCI I KWALIFIKACJI WOJSKOWEJ kontakt przez PUP   Wykształcenie wyższe, preferowane: administracja publiczna; umiejętność obsługi urządzeń biurowych"
118641,"PRACOWNIK WYKOŃCZENIA WNĘTRZ PRZEDSIĘBIORSTWO HANDLOWE """"JANTA"""" SPÓŁKA JAWNA BIERNACKA WIESŁAWA, BIERNACKI JANUSZ   mile widziane doświadczenie przy pracach wykończeniowych"
118796,KIEROWCA SAMOCHODU CIĘŻAROWEGO Publiczny Transport Ciężarowy Maciej Budziński   aktualne badania psychologiczne
118947,POMOCNICZY ROBOTNIK BUDOWLANY kontakt przez PUP   Predyspozycje psychofizyczne i zdrowotne : sprawny fizycznie
119105,MALARZ KONSTRUKCJI STALOWYCH - ŚRUCIARZ AD-MAL Adam Kowalczyk   Wymagania: mile widziany min. rok doświadczenia zawodowego.
119259,PRACOWNIK OGÓLNOBUDOWLANY SŁAWOMIR JOŃCZYK USŁUGI REMONTOWO-BUDOWLANE JOŃCZYK-BUD   Staż pracy min. 1 rok Praca w Myślenicach i Krakowie.
119415,PRACOWNIK I STOPNIA WYKONUJĄCY ZADANIA W RAMACH PRAC INTERWENCYJNYCH kontakt przez PUP   doświadczenie w administracji samorządowej
119573,"KOORDYNATOR-TECHNOLOG PROJEKTÓW Paweł Sołtys P P U H JETAS   Autocad, wizualizacja 30, rysunek techniczny"
1196359,"PRACOWNIK PRODUKCJI (KRAJACZ METALI) PPUH POM Strzelce Krajeńskie sp. z o.o.   minimum 2 lata doświadczenia na podobnym stanowisku, czytanie rysunku technicznego"
1196534,"PRACOWNIK PRODUKCJI (ŻAGAŃ) ZAKŁAD CERAMIKI ELEWACYJNEJ """"GOŁOWCZYŃSKI"""" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Mile widziane doświadczenie w pracy na produkcji."
1197037,"PRACOWNIK PRODUKCJI kontakt przez PUP   doświadczenie w pracy na produkcji, posiadanie książeczki sanepid lub chęć jej wyrobienia przed rozpoczęciem pracy"
1197173,"PRACOWNIK PRODUKCJI (NR 2935) kontakt przez PUP   gotowość do pracy w systemie trzyzmianowym i w dni wolne od pracy, mile widziana znajomość języka ukraińskiego z uwagi na pracę w brygadach ukraińskich.  "
119724,PRACOWNIK OGÓLNOBUDOWLANY USŁUGI OGÓLNOBUDOWLANE OSKAR OGONOWSKI   mile widziane doświadczenie zawodowe
1198414,"PRACOWNIK PRODUKCJI SEZONOWEJ R19/1565-767/21 RUN-CHŁODNIA WE WŁOCŁAWKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   brak wymagań w zakresie wykształcenia, aktualne orzeczenie do celów sanitarno- epidemiologicznych, umowa zlecenie (również w dni wolne) w godz.: 10.00-20.00, 20.00-06.00, dyspozycyjność, dobra organizacja pracy własnej, odpowiedzialność, dokładność, rzetelność"
119879,"WULKANIZATOR Auto-Naprawa Justyna Góraj   chęć do pracy, możliwość przyuczenia do zawodu"
120035,POMOCNIK BUDOWLANY MIROSŁAW JACUŃSKI USŁUGI BUDOWLANE   Zapewniona możliwość dojazdu na budowę po uzgodnieniu z pracodawcą.
120202,OPIEKUN Dom Pomocy Społecznej MECENAT s.c.   Mile widziane 6 - miesięczne doświadczenie w zawodzie.   
120359,OBSŁUGA STOISKA I KAS kontakt przez PUP   [Umiejętność 1] : komunikatywność i umiejętność pracy w zespole 
120513,"NAUCZYCIEL Niepubliczna Szkoła Podstawowa Specjalna UMIEM   [Umiejętność 1] : Studia wyższe na kierunku: pedagogika, psychologia, logopedia"
120653,"PRACOWNIK ZAJMUJĄCY SIĘ SPRZĄTANIEM - MYCIE I CZYSZCZENIE URZĄDZEŃ SALI OPERACYJNEJ kontakt przez PUP   3,5 roku doświadczenia zawodowego; mile widziane: sumienność, skrupulatność, referencje"
120802,KIEROWCA-OPERATOR HDS Konstruktor Bis Sp. z o.o. Sp. k.   [Inne] : Uprawnienia i doświadczenie w obsłudze HDS( hydrauliczny dźwig samochodowy)
120958,SORTOWACZ kontakt przez PUP   1 miesiąc doświadczenia w pracy przy sortowaniu przesyłek pocztowych 
121118,KURIER - KIEROWCA SAMOCHODU DOSTAWCZEGO KLAR Kamil Chojnacki   Zaświadczenie o niekaralności
121268,"PRACOWNIK GOSPODARCZY CAŁOROCZNY OŚRODEK WYPOCZYNKOWO-SZKOLENIOWY ZALESIE S.C. MAŁGORZATA CZESZEJKO-SOCHACKA, MARIUSZ CZESZEJKO-SOCHACKI   wymagania - oczekiwania pracodawcy: uprawnienia SEP do 1 KV"
121428,"OGRODNIK TERENÓW ZIELENI kontakt przez PUP   wykształcenie dowolne, chęć do pracy praca na pół etatu"
121573,PRACOWNIK MYJNI RĘCZNEJ SIKORA -.AC.- SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Wykształcenie min. zawodowe (dowolne). Prawo jazdy kat. B
121891,"OPERATOR SPRZĘTU C kontakt przez PUP   Wymagany staż pracy 5 lat, uprawnienia : ładowarka, fadroma, koparko-ładowarka"
122051,"POMOC ADMINISTRACYJNA kontakt przez PUP   Wykształcenie wyższe - mile widziane. Komunikatywność, podstawowa znajomość obsługi komputera - pożądane"
1221011,PRZEDSTAWICIEL HANDLOWY BELSO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Doświadczenie zawodowe w bezpośredniej sprzedaży.
122218,WULKANIZATOR MAZITRANS Krzysztof Mazurek   Wymagany staż pracy minimum rok oraz znajomość branży.
122368,POMOCNICZY ROBOTNIK BUDOWLANY PROTECH INVEST SP. Z O. O.   Doświadczenie zawodowe min. 2 lata.
122527,ŚLUSARZ - SPAWACZ kontakt przez PUP   mile widziane uprawnienia spawalnicze
122677,"MECHANIK MASZYN ROLNICZYCH I BUDOWLANYCH PJS usługi Patryk Szula   Umiejętność pracy w zawodzie - znajomość mechaniki, mile widziana umiejętność spawania."
122833,ROBOTNIK GOSPODARCZY kontakt przez PUP   Umiejętność wykonywania prac gospodarczych i porządkowych.
1253977,"SPECJALISTA DS. SERWISU Easy Select J.Iskra, B.Gostyńska s.c.   [Umiejętność 1] : Poszukujemy zmotywowanego Kandydata, chętnego do nauki zawodu."
1255159,"PODINSPEKTOR/INSPEKTOR/SPECJALISTA W WYDZIALE OBSŁUGI Zarząd Lokali Miejskich   [Inne] : • ukończone kursy i szkolenia z zakresu profesjonalnej obsługi sekretariatu,  • doświadczenie zawodowe na stanowisku o podobnym zakresie zadań,   • doświadczenie zawodowe w pracy w administracji publicznej."
1255281,"SPECJALISTA DS. KADR I PŁAC ORAZ ZUS kontakt przez PUP   sumienność i skrupulatność; znajomość podstaw przepisów prawa pracy, kalkulacji wynagrodzeń oraz zasiłków wypłacanych w związku z umową o pracę, znajomość przepisów dotyczących ubezpieczeń społecznych"
1255400,"SPECJALISTA DS. SANITARNYCH LUB ELEKTRYCZNYCH """"UZDROWISKO KOŁOBRZEG"""" SPÓŁKA AKCYJNA   [Inne] : •        Wykształcenie wyższe techniczne  •        Znajomość prawa budowlanego •        Znajomość zamówień publicznych  •        Umiejętności z zakresu prac elektrycznych/hydraulicznych/budowlanych •        Mile widziane uprawnienia budowlane "
1257377,"SPECJALISTA DO SPRAW SPRZEDAŻY Jerzy Bratkowski I. PRZEDSIĘBIORSTWO HANDLOWE BRATPOL II. B-VIMED   Wymagania: minimum rok pracy w dziale sprzedaży, znajomość logistyki, umiejętność przygotowania dokumentów przetargowych, znajomość obsługi komputera, mile widziana znajomość programów do wysyłek kurierskich (np.Firm Schenker, Raben). Znajomość języka angielskiego w stopniu dobrym. Cv należy przesłać na maila pracodawca skontaktuje się z wybranymi kandydatami."
1257526,"SPECJALISTA DO SPRAW KADR YAN-BUD VITALII YANISHEVSKYI   wykształcenie wyższe, staż pracy bez znaczenia, KURS KADRY I PŁACE  W związku z tym, że firma zatrudnia obcokrajowców (ukraińców), specjalista ds. kadr powinien znać język ukraiński B2"
1260019,"SPECJALISTA DS. SZKOLEŃ (PIELĘGNIARSTWO PSYCHIATRYCZNE) kontakt przez PUP   Wymagania: wykształcenie wyższe pielęgniarskie, znajomość przepisów prawnych z zakresu kształcenia podyplomowego, obowiązujących programów kształcenia podyplomowego pielęgniarek i położnych, znajomość środowiska medycznego, znajomość pracy biurowej, prowadzenia dokumentacji, archiwizacji dokumentów, znajomość obsługi komputera, pakietu MS OFFICE oraz EXCEL, umiejętności interpersonalne, wskazane posiadanie tytułu specjalisty w dziedzinie pielęgniarstwa psychiatrycznego.    Obowiązki:  - realizowanie zadań związanych z przebiegiem szkoleń specjalizacyjnych dla pielęgniarek i położnych  - prowadzenie czynności przygotowawczych związanych ze szkoleniami  - prowadzenie dokumentacji szkoleń  - rekrutacja kadry dydaktycznej  - przygotowanie umów z placówkami szkoleniowymi, opracowywanie harmonogramów zajęć  - opracowanie testów  - praca w czasie ruchomym w weekendy    Praca na 1/8 etatu, w czasie ruchomym w weekendy."
1262,"PRACOWNIK OBSŁUGI BIUROWEJ """"GIEŁDA"""" Firma Handlowo-Usługowa Ewa Chyra   wykształcenie średnie - mile widziane kierunkowe (logistyka, transport), obsługa komputera, znajomość języka angielskiego lub niemieckiego w stopniu komunikatywnym."
1384043,SPRZĄTACZKA P. W. KARABELA-CK Sp. z o.o.   Orzeczenie o stopniu niepełnosprawności.  Mile widziane doświadczenie na podobnym stanowisku.
1384209,"SPRZĄTACZKA PRZEDSIĘBIORSTWO USŁUGOWE """"GARDEN"""" ALFREDA GAJEK   Sprzątanie klatek w blokach, motywacja do pracy, sumienność, odpowiedzialność."
1384499,"SPRZĄTACZKA DOMOWA KM Service Karolina Mydłowska   Wykształcenie średnie   punktualność   pracowitość, staranność   Osoba bez nałogów, chętnie z doświadczeniem przy sprzątaniu prywatnych nieruchomości."
141035,"KIEROWCA C+E - 520 MBM TRANSPORT MATEUSZ MUSIAŁ   prawo jazdy kat. C+E, ważna karta kierowcy, podstawowa znajomość języka angielskiego, niemieckiego"
141186,"ELEKTROMONTER - 473 JARO SPÓŁKA AKCYJNA   wykształcenie min. zawodowe, uprawnienia SEP powyżej 1kV, znajomość instalacji elektrycznych, czytanie schematów elektrycznych, zasilania i sterowania; punktualność, odpowiedzialność, umiejętność pracy w zespole."
1412,MŁODSZY KONSULTANT/CZYNNOŚCI ADMINISTRACYJNO-BIUROWE kontakt przez PUP   [Umiejętność 1] : podstawowa wiedza z zakresu legalizacji pobytu i pracy cudzoziemców 
141341,"POMOC KSIĘGOWEJ FCG FISCAL CONSULTING GROUP WALDEMAR BRYSZ   wykształcenie średnie zawodowe, doświadczenie na podobnym stanowisku, biegła obsługa komputera - Umiejętność obsługi programów Ms Office, DOŚWIADCZENIE I UMIEJĘTNOŚĆ PRACY W ZESPOLE, jęz. angielski B1"
141487,"MASZYNISTA MASZYN OFFSETOWYCH R117/1768-865/21 kontakt przez PUP   mile widziane wykształcenie zasadnicze zawodowe, prawo jazdy kat. B, znajomość obsługi maszyn offsetowych"
141620,"KELNER (NR 2123) SPÓŁDZIELNIA GASTRONOMICZNA W BYDGOSZCZY   Wymagania: - wykształcenie średnie, - doświadczenie na stanowisku kelnera, - dobra organizacja własnej pracy, - aktualne badania do celów sanitarno-epidemiologicznych."
141761,"SZLIFIERZ/ TOKARZ R1678/1175-565/21 DRUMET LINY I DRUTY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   wykszt. min. zasadnicze zawodowe techniczne; mile widziane doświadczenie; wiedza z zakresu obróbki skrawaniem; praca w godz. 06.00-14.00, 14.00-22.00"
141915,"POMOCNIK ELEKTRYKA AUTOELEKTRONIKA Artur Sapiaszko   KONTAKT W SPRAWIE OFERTY PRACY: - osobisty: Pokrówka, ul. Mostowa 3 - telefoniczny:  <<PHONE>> - można również przesyłać CV drogą e-mailową na adres:  <<EMAIL>>  "
142069,"MECHANIK SAMOCHODOWY KWIATEX AUTOSERVICE Roman Kwiatkowski   Umiejętność naprawy samochodów osobowych:montaż i demontaż podzespołów samochodu., wymiana klocków, rozrządu itp. Roczne doświadczenie nie wliczając okresu przygotowania zawodowego."
142215,"SZWACZKA MASZYNOWA kontakt przez PUP   umiejętność szycia na maszynach szwalniczych : stębnówka automat, overlocka, renderki, dziurkarki, guzikarki"
142367,"PRACOWNIK MAGAZYNU kontakt przez OHP   Gotowość do pracy dwuzmianowej (5.45 - 14.00, 15.00 - 23.15). Możliwość pracy tylko na zmianie nocnej 20.30 - 4.45 lub 24.00 - 8.15"
142527,"PRACE PRZY ROBIENIU KEBABÓW Kebab Tomasz Kromka   wykształcenie średnie, umiejętność krojenia mięsa, robienia kebabów, obsługi kasy fiskalnej; wymagana książeczka sanepidowska, min. 4 miesiące pracy przy krojeniu mięsa"
142677,"TAPICER MEBLOWY Grzegorz Smagło Tapicerstwo   Wykształcenie nieistotne, możliwość przyuczenia do zawodu, chęć do pracy, dbanie o porządek pracy."
142833,"CIEŚLA FIRMA PRODUKCYJNO - HANDLOWO - USŁUGOWA """"DOMAR"""" MARIUSZ GRZYB   mile widziane doświadczenie, może być także osoba do przyuczenia posiadająca chęci do pracy"
142975,"TECHNOLOG - KOORDYNATOR PRODUKCJI ( 167 J) OBRAMET Sławomir Płuciennik   [Umiejętność 1] : znajomość technologii obróbki metalu,  znajomość zarządzania  produkcją, obsługa programów CAD/CAM; prawo jazdy B [Inne] : wynagrodzenie do negocjacji uzależnione od kwalifikacji i obowiązków "
143119,"OPERATOR LINII BMW MAGNA NOWOCZESNE TECHNOLOGIE PRODUKCJI SPÓŁKA AKCYJNA   pożądane wyk. podstawowe, min. 2 miesiące doświadczenie jako operator CNC,podstawowa znajomość rysunku technicznego,   znajomość obsługi przyrządów pomiarowych  Praca 6-14, 14-22, 22-6"
143272,"POMOCNIK STOLARZA Artur Kamiński PEXIM   wyk. min. zawodowe, mile widziane doświadczenie, samodzielność, łatwość przerzucania się z jednej czynności na drugą, dokładność, samokontrola  Praca pon.- pt. 6-14"
143419,"KIEROWCA CATERINGU FUH MAZUR & MAZUR Janusz Mazur, Piotr Mazur s.c.   Prawo jazdy kat. B, doświadczenie na podobnym stanowisku, znajomość języka angielskiego w stopniu komunikatywnym, dobra organizacja czasu pracy, odpowiedzialność, wysoka kultura osobista."
143559,"LAKIERNIK SAMOCHODOWY kontakt przez OHP   Zatrudnienie uczestnika 9-8 Hufca Pracy w Sanoku, w ramach gwarancji zatrudnienia, po ukończeniu praktycznej nauki zawodu."
143710,"SALOWA kontakt przez PUP   [Inne] : Praca w dni wolne, ruch ciągły, Kontakt do Kierownika Obiektu Katarzyna Guzińska  <<PHONE>> "
143854,"SPAWACZ-MONTER BASE GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ   Wymagania: umiejętność spawania sekcji rurowych, umiejętność czytania rysunku technicznego, uprawnienia spawalnicze, doświadczenie zawodowe minimum rok."
